id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
WestA509ToAvebury.27,486.0,773_0,5.1,0.0,0.0,1553.0,213_0,19.13,11.82,1067.0,2317.34,707.0,16,0.0,881.53,0,tripinfo_WestA509ToAvebury.27 emissions_WestA509ToAvebury.27,gasoline_euro4,0.91,140448.850203,2712876.849785,702.593937,62.184024,1205.311747,865329.270327,0.0
EastAveburyToWestA509.98,1033.0,483_0,4.6,0.0,0.0,1553.0,774_2,29.75,11.4,520.0,2210.27,248.0,12,0.0,343.86,0,tripinfo_EastAveburyToWestA509.98 emissions_EastAveburyToWestA509.98,electric,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestH6ToSaxonSt.43,516.0,524_0,4.6,0.0,0.0,1554.0,771_1,56.88,12.83,1038.0,2570.37,683.0,17,0.0,841.29,0,tripinfo_WestH6ToSaxonSt.43 emissions_WestH6ToSaxonSt.43,electric,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.120,1440.0,468_0,5.1,0.0,0.0,1561.0,522_1,56.88,12.97,121.0,1507.13,0.0,0,0.0,13.05,0,tripinfo_V6ToEastH6.120 emissions_V6ToEastH6.120,gasoline_euro4,1.01,3898.994495,364402.089247,25.206952,5.368914,138.404096,116227.761435,0.0
WestH6ToSaxonSt.41,492.0,524_0,5.1,0.0,0.0,1565.0,771_1,56.88,10.74,1073.0,2569.84,688.0,18,0.0,847.54,0,tripinfo_WestH6ToSaxonSt.41 emissions_WestH6ToSaxonSt.41,gasoline_euro4,0.84,137143.817687,2713665.10067,687.779103,61.192064,1199.954951,865579.704651,0.0
WestA509ToEastH6.21,759.0,773_0,5.1,0.0,3.0,1571.0,522_1,56.88,15.44,812.0,3657.65,430.0,16,0.0,574.51,0,tripinfo_WestA509ToEastH6.21 emissions_WestA509ToEastH6.21,gasoline_euro4,1.11,93753.424441,2280674.411176,478.81655,48.672709,982.858501,727458.083459,0.0
V6ToEastH6.121,1452.0,468_0,5.1,0.0,0.0,1577.0,522_1,56.88,12.72,125.0,1507.13,0.0,0,0.0,14.08,0,tripinfo_V6ToEastH6.121 emissions_V6ToEastH6.121,gasoline_euro4,0.99,4120.395222,365607.593679,26.811867,5.596346,141.597717,116612.156911,0.0
WestA509ToEastH6.22,794.0,773_0,4.6,0.0,2.0,1578.0,522_1,56.88,13.67,784.0,3658.15,388.0,18,0.0,533.77,0,tripinfo_WestA509ToEastH6.22 emissions_WestA509ToEastH6.22,electric,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToEastH6.19,687.0,773_0,4.6,0.0,3.0,1590.0,522_1,56.88,12.21,903.0,3658.14,491.0,18,0.0,616.98,0,tripinfo_WestA509ToEastH6.19 emissions_WestA509ToEastH6.19,electric,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToEastH6.23,831.0,773_0,4.6,0.0,3.0,1591.0,522_1,56.88,14.17,760.0,3658.15,343.0,14,0.0,519.69,0,tripinfo_WestA509ToEastH6.23 emissions_WestA509ToEastH6.23,electric,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
